"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","Department.accounting","Department.hr","Department.IT","Department.management","Department.marketing","Department.product_mng","Department.RandD","Department.sales","Department.support","Department.technical","salary"
"631",0.1,0.9,1,0.92258064516129,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"4913",0.66,0.63,0.714285714285714,0.851612903225806,0.5,0,"0",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333
"14299",0.44,0.45,0.285714285714286,0.425806451612903,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"13325",0.75,0.51,0.285714285714286,0.693548387096774,0.2,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"10377",0.63,0.66,0.428571428571429,0.825806451612903,0.4,1,"0",0,0,0,0,0,0,0,1,0,0,0,0.333333333333333
"9593",0.53,0.7,0.571428571428571,0.5,0.5,1,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"14891",0.43,0.53,0.285714285714286,0.474193548387097,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"9820",0.98,0.68,0.571428571428571,0.816129032258065,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,1
"10610",0.75,0.92,0.428571428571429,0.680645161290323,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"8147",0.52,0.67,0.571428571428571,0.696774193548387,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"8896",0.93,0.92,0.714285714285714,0.596774193548387,0.5,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"4330",0.46,0.43,0.571428571428571,0.832258064516129,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"2203",0.14,0.64,0.714285714285714,0.529032258064516,0.5,0,"0",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333
"14416",0.87,0.9,0.714285714285714,0.819354838709677,0.6,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"13506",0.91,0.64,0.428571428571429,0.77741935483871,1,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"10338",0.9,0.66,0.428571428571429,0.825806451612903,0.4,0,"0",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333
"11905",0.16,0.68,0.714285714285714,0.480645161290323,0.7,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"369",0.82,0.86,0.714285714285714,0.783870967741935,0.5,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"7150",0.38,0.47,0.428571428571429,0.609677419354839,0.5,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"11349",0.14,0.76,0.571428571428571,0.458064516129032,1,0,"0",0,0,0,0,1,0,0,0,0,0,0,1
"3238",0.97,0.86,0.714285714285714,0.435483870967742,0.3,0,"0",0,0,1,0,0,0,0,0,0,0,0,1
"4761",0.7,0.55,0.428571428571429,0.816129032258065,0.2,1,"0",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333
"3466",0.59,0.83,0.571428571428571,0.770967741935484,0.4,0,"0",0,0,1,0,0,0,0,0,0,0,0,1
"2137",0.74,0.82,0.571428571428571,0.458064516129032,0.2,0,"0",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667
"6201",0.17,0.51,0.714285714285714,0.712903225806452,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"6189",0.76,0.99,0.428571428571429,0.696774193548387,0.3,0,"0",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333
"5517",0.49,0.74,0.571428571428571,0.335483870967742,0.4,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"2280",0.96,0.45,0.857142857142857,0.748387096774194,0.2,1,"0",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333
"2076",0.41,0.47,0.571428571428571,0.335483870967742,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"3485",0.8,0.97,0.714285714285714,0.874193548387097,0.4,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"6968",0.49,0.54,0.571428571428571,0.796774193548387,0.3,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"3977",0.67,0.66,0.428571428571429,0.764516129032258,0.3,0,"0",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333
"12825",0.9,0.81,0.571428571428571,0.564516129032258,0.3,0,"0",0,0,0,0,1,0,0,0,0,0,0,0.666666666666667
"686",0.79,0.84,0.571428571428571,0.774193548387097,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"6611",0.86,0.99,0.428571428571429,0.819354838709677,0.2,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"11942",0.58,1,0.571428571428571,0.709677419354839,1,0,"0",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667
"1822",0.11,0.88,0.857142857142857,0.948387096774194,0.4,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"8384",0.92,0.62,0.428571428571429,0.641935483870968,0.2,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"3087",0.57,0.56,0.571428571428571,0.364516129032258,0.3,0,"0",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333
"1906",0.43,0.49,0.285714285714286,0.42258064516129,0.3,0,"1",0,0,0,0,0,0,0,1,0,0,0,1
"11256",0.99,0.66,0.428571428571429,0.583870967741935,0.2,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"13373",0.69,0.82,0.571428571428571,0.812903225806452,0.3,1,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"5595",0.37,0.45,0.857142857142857,0.32258064516129,0.5,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"9937",0.68,0.81,0.428571428571429,0.580645161290323,0.2,1,"0",0,0,0,0,0,0,0,0,1,0,0,1
"1417",0.11,0.85,0.857142857142857,0.951612903225806,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"5736",0.56,0.73,0.571428571428571,0.729032258064516,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"4099",0.69,0.57,0.571428571428571,0.732258064516129,0.4,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"12167",0.43,0.55,0.285714285714286,0.416129032258065,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"6699",0.42,0.91,0.285714285714286,0.567741935483871,0.3,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"12097",0.1,0.77,0.857142857142857,0.854838709677419,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"12131",0.1,0.83,0.857142857142857,0.941935483870968,0.4,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"11861",0.78,0.9,0.714285714285714,0.509677419354839,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"6567",0.91,0.82,0.571428571428571,0.835483870967742,0.3,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"11264",0.98,0.98,0.571428571428571,0.548387096774194,1,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"9394",0.96,0.94,0.428571428571429,0.587096774193548,0.3,0,"0",0,0,0,0,0,1,0,0,0,0,0,1
"10601",0.63,0.94,0.571428571428571,0.706451612903226,0.3,0,"0",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333
"10",0.42,0.53,0.285714285714286,0.458064516129032,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"7095",0.56,0.64,0.428571428571429,0.845161290322581,0.2,1,"0",0,0,0,0,0,0,0,1,0,0,0,0.333333333333333
"3286",0.51,0.52,0.428571428571429,0.529032258064516,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"5669",0.77,0.55,0.428571428571429,0.725806451612903,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"9144",0.48,0.51,0.571428571428571,0.332258064516129,0.4,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"5250",0.82,0.71,0.428571428571429,0.516129032258065,0.3,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"1659",0.81,0.97,0.714285714285714,0.741935483870968,0.5,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"3635",0.58,0.97,0.428571428571429,0.854838709677419,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"9967",0.74,0.82,0.714285714285714,0.496774193548387,0.2,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"6231",0.56,0.81,0.428571428571429,0.532258064516129,0.4,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"11757",0.44,0.44,0.285714285714286,0.454838709677419,0.7,1,"0",1,0,0,0,1,0,0,0,0,0,0,1
"1535",0.1,0.94,0.857142857142857,0.958064516129032,0.5,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333
"6486",0.63,1,0.714285714285714,0.77741935483871,0.4,0,"0",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667
"14689",0.09,0.79,0.857142857142857,0.887096774193548,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"13318",0.68,0.65,0.428571428571429,0.558064516129032,0.3,1,"0",0,0,0,0,0,1,0,0,0,0,0,1
"13219",0.49,0.67,0.285714285714286,0.612903225806452,0.8,0,"0",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667
"2611",0.78,0.5,0.571428571428571,0.683870967741935,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"1949",0.4,0.56,0.285714285714286,0.47741935483871,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"9737",0.83,0.92,0.428571428571429,0.864516129032258,0.2,1,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"5121",0.68,0.72,0.428571428571429,0.687096774193548,0.3,0,"0",1,0,0,0,0,1,0,0,0,0,0,0.666666666666667
"9790",0.92,0.91,0.428571428571429,0.651612903225806,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"4776",1,0.8,0.714285714285714,0.52258064516129,0.3,1,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"2798",0.57,0.72,0.428571428571429,0.651612903225806,0.3,1,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"11659",0.66,0.78,0.571428571428571,0.519354838709677,0.6,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"1395",0.41,0.52,0.285714285714286,0.458064516129032,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"6956",0.99,0.95,0.428571428571429,0.493548387096774,0.4,0,"0",0,0,0,0,0,1,0,0,0,0,0,1
"7622",0.9,0.54,0.428571428571429,0.87741935483871,0.2,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"8940",0.78,0.57,0.571428571428571,0.851612903225806,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,1
"4959",0.61,0.7,0.571428571428571,0.783870967741935,0.3,0,"0",0,0,0,0,0,0,0,1,0,0,0,0.333333333333333
"7279",0.5,0.64,0.714285714285714,0.629032258064516,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"14218",0.1,0.77,0.857142857142857,0.796774193548387,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"7193",0.66,0.72,0.714285714285714,0.490322580645161,0.3,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"13261",0.65,0.83,0.571428571428571,0.809677419354839,0.2,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"13619",0.86,0.95,0.571428571428571,0.480645161290323,0.3,0,"0",1,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"9066",0.15,0.66,0.571428571428571,0.580645161290323,0.4,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"6116",0.63,0.86,0.571428571428571,0.545161290322581,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,1
"2191",0.87,0.52,0.428571428571429,0.764516129032258,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"13926",0.51,0.75,0.428571428571429,0.429032258064516,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"4485",0.17,0.4,0.571428571428571,0.92258064516129,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"904",0.43,0.47,0.285714285714286,0.412903225806452,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"14108",0.72,0.99,0.428571428571429,0.461290322580645,0.4,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"10727",0.13,0.84,0.714285714285714,0.609677419354839,0.5,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"2118",0.78,0.72,0.714285714285714,0.870967741935484,0.3,1,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"8176",0.68,0.48,0.714285714285714,0.364516129032258,0.2,0,"0",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333
"14199",0.19,0.79,0.571428571428571,0.738709677419355,0.4,0,"0",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667
"8713",0.74,0.75,0.285714285714286,0.441935483870968,0.3,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"6020",0.5,0.48,0.571428571428571,0.867741935483871,0.3,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"9641",0.64,0.55,0.428571428571429,0.648387096774194,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"4759",0.95,0.56,0.714285714285714,0.625806451612903,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,1
"4578",0.5,0.48,0.428571428571429,0.793548387096774,0.3,0,"0",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667
"3270",0.66,0.93,0.714285714285714,0.596774193548387,0.3,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"5497",0.65,0.56,0.428571428571429,0.835483870967742,0.3,0,"0",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667
"14640",0.37,0.45,0.285714285714286,0.406451612903226,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"2294",0.75,0.77,0.571428571428571,0.438709677419355,0.3,0,"0",0,0,0,0,1,0,0,0,0,0,0,0.666666666666667
"1355",0.1,0.92,1,0.880645161290323,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"2111",0.93,0.75,0.714285714285714,0.461290322580645,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"10261",0.91,0.58,0.428571428571429,0.554838709677419,0.3,0,"0",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333
"9208",0.77,0.71,0.714285714285714,0.454838709677419,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"13254",0.97,0.89,0.571428571428571,0.670967741935484,0.2,1,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"10006",0.72,0.74,0.285714285714286,0.767741935483871,0.3,0,"0",0,0,0,0,1,0,0,0,0,0,0,0.666666666666667
"10958",0.82,0.53,0.428571428571429,0.474193548387097,0.3,1,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"7747",0.55,0.49,0.285714285714286,0.580645161290323,0.5,1,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"9808",0.5,0.8,0.857142857142857,0.648387096774194,0.5,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"12215",0.4,0.53,0.285714285714286,0.487096774193548,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"11686",0.41,0.38,0.571428571428571,0.458064516129032,1,1,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"14562",0.09,0.8,0.857142857142857,0.980645161290323,0.5,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"6530",0.49,0.67,0.428571428571429,0.819354838709677,0.2,1,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"4632",0.92,0.79,0.714285714285714,0.783870967741935,0.3,1,"0",0,0,0,0,0,0,0,0,0,1,0,1
"6084",0.19,0.76,0.428571428571429,0.345161290322581,0.5,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"156",0.11,0.8,0.857142857142857,0.980645161290323,0.4,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333
"2732",0.3,0.91,0.571428571428571,0.8,0.4,0,"0",0,0,0,0,1,0,0,0,0,0,0,0.333333333333333
"12519",0.44,0.54,0.285714285714286,0.487096774193548,0.3,0,"1",0,0,0,0,1,0,0,0,0,0,0,0.333333333333333
"3434",0.88,0.88,0.428571428571429,0.690322580645161,0.2,1,"0",0,0,0,0,0,0,0,1,0,0,0,0.333333333333333
"3552",0.66,0.68,0.428571428571429,0.832258064516129,0.3,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"1140",0.42,0.46,0.285714285714286,0.425806451612903,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"3650",0.64,0.72,0.714285714285714,0.509677419354839,0.3,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"10873",0.2,0.42,0.571428571428571,0.825806451612903,0.5,0,"0",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333
"12584",0.44,0.56,0.285714285714286,0.467741935483871,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"7388",0.93,0.71,0.714285714285714,0.870967741935484,0.2,0,"0",0,0,0,0,0,0,0,0,0,0,1,1
"5760",0.55,0.83,0.714285714285714,0.709677419354839,0.3,0,"0",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333
"3659",0.76,0.74,0.571428571428571,0.758064516129032,0.3,0,"0",0,0,0,0,0,0,0,1,0,0,0,1
"1650",0.38,0.51,0.285714285714286,0.445161290322581,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"5790",0.75,1,0.571428571428571,0.87741935483871,0.4,1,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"8490",0.25,0.98,0.857142857142857,0.925806451612903,0.5,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"3220",0.65,0.51,0.571428571428571,0.506451612903226,0.3,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"6601",0.86,0.95,0.714285714285714,0.887096774193548,0.2,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"3235",0.84,0.79,0.857142857142857,0.451612903225806,0.2,0,"0",0,1,0,0,0,0,0,0,0,0,0,1
"7454",0.95,0.76,0.571428571428571,0.709677419354839,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"5252",0.5,0.5,0.571428571428571,0.861290322580645,0.3,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"9644",0.69,0.66,0.428571428571429,0.364516129032258,0.4,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"5560",0.74,0.54,0.428571428571429,0.564516129032258,0.3,1,"0",0,0,0,1,0,0,0,0,0,0,0,1
"5274",0.13,0.63,0.857142857142857,0.706451612903226,0.6,0,"0",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333
"7917",0.7,0.57,0.571428571428571,0.854838709677419,0.2,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"10982",0.75,0.78,0.285714285714286,0.835483870967742,0.3,0,"0",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333
"3280",0.69,0.55,0.428571428571429,0.606451612903226,0.3,0,"0",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667
"6122",0.5,0.94,0.714285714285714,0.567741935483871,0.4,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"3941",0.58,0.71,0.428571428571429,0.661290322580645,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"9342",0.57,0.99,0.428571428571429,0.745161290322581,0.3,0,"0",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333
"2726",0.68,0.6,0.285714285714286,0.619354838709677,0.6,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"12806",0.78,0.7,0.571428571428571,0.448387096774194,0.3,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"11069",0.12,0.49,0.571428571428571,0.616129032258064,0.5,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"9908",0.48,0.81,0.428571428571429,0.683870967741935,0.2,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"9162",0.34,0.46,0.857142857142857,0.425806451612903,0.2,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"5518",0.96,0.82,0.571428571428571,0.648387096774194,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,1
"7854",0.86,0.64,0.571428571428571,0.474193548387097,0.2,1,"0",0,0,0,0,0,0,1,0,0,0,0,1
"12964",0.94,0.69,0.714285714285714,0.467741935483871,0.2,0,"0",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667
"8622",0.59,0.74,0.714285714285714,0.532258064516129,0.2,0,"0",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667
"12445",0.39,0.54,0.285714285714286,0.409677419354839,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"4630",0.9,1,0.285714285714286,0.367741935483871,0.5,0,"0",0,0,0,0,0,0,0,0,0,1,0,1
"10495",0.79,0.67,0.714285714285714,0.716129032258065,0.4,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"3927",0.58,0.63,0.571428571428571,0.512903225806452,0.3,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"8806",0.6,0.53,0.571428571428571,0.735483870967742,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"7130",0.98,0.74,0.571428571428571,0.651612903225806,0.3,0,"0",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333
"3926",0.14,0.68,0.571428571428571,0.880645161290323,0.5,1,"0",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667
"8363",0.76,0.94,0.571428571428571,0.541935483870968,0.6,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"13526",0.66,0.59,0.571428571428571,0.57741935483871,0.3,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"13357",0.56,0.94,0.428571428571429,0.496774193548387,0.3,1,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"4061",0.63,0.88,0.428571428571429,0.570967741935484,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"14961",0.82,0.86,0.714285714285714,0.829032258064516,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"14595",0.38,0.51,0.285714285714286,0.512903225806452,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"9180",0.84,0.58,0.571428571428571,0.580645161290323,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"13877",0.96,0.85,0.571428571428571,0.558064516129032,0.3,0,"0",0,0,0,0,0,1,0,0,0,0,0,1
"6907",0.69,0.91,0.428571428571429,0.538709677419355,0.2,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"6023",0.77,0.66,0.857142857142857,0.583870967741935,0.4,0,"0",0,0,0,0,0,0,1,0,0,0,0,1
"9758",0.85,0.65,0.571428571428571,0.903225806451613,0.3,1,"0",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"2255",0.91,0.82,0.428571428571429,0.590322580645161,0.3,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"8479",0.58,0.63,0.714285714285714,0.616129032258064,0.3,1,"0",0,0,0,0,0,0,0,0,0,0,1,1
"3533",0.58,0.61,0.571428571428571,0.67741935483871,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"14241",0.38,0.5,0.285714285714286,0.425806451612903,0.3,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333
"8899",0.74,0.63,0.571428571428571,0.767741935483871,0.2,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"7621",0.73,0.65,0.428571428571429,0.532258064516129,0.3,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"5957",0.74,0.86,0.571428571428571,0.712903225806452,0.2,1,"0",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333
"13023",0.97,0.93,0.714285714285714,0.441935483870968,0.2,1,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"5387",0.84,0.93,0.857142857142857,0.535483870967742,0.4,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"4264",0.15,0.67,0.571428571428571,0.851612903225806,0.3,0,"0",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
