"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","Department.accounting","Department.hr","Department.IT","Department.management","Department.marketing","Department.product_mng","Department.RandD","Department.sales","Department.support","Department.technical","salary","Predictions"
"36",0.1,0.94,0.857142857142857,0.82258064516129,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"38",0.45,0.5,0.285714285714286,0.406451612903226,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"39",0.11,0.89,0.857142857142857,0.987096774193548,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"41",0.87,0.88,0.714285714285714,0.867741935483871,0.5,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"48",0.57,0.7,0.428571428571429,0.880645161290323,0.6,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"0"
"54",0.39,0.54,0.285714285714286,0.425806451612903,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"60",0.85,1,0.571428571428571,0.725806451612903,0.5,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"69",0.76,0.86,0.714285714285714,0.719354838709677,0.5,1,"1",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,"1"
"70",0.43,0.5,0.285714285714286,0.435483870967742,0.3,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,"1"
"74",0.09,0.87,1,0.951612903225806,0.4,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,"1"
"76",0.11,0.79,1,0.987096774193548,0.4,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,"1"
"77",0.1,0.83,0.857142857142857,0.951612903225806,0.4,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,"1"
"79",0.43,0.56,0.285714285714286,0.506451612903226,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"85",0.11,0.77,0.857142857142857,0.938709677419355,0.4,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,"1"
"87",0.17,0.84,0.714285714285714,0.748387096774194,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"90",0.1,0.79,0.857142857142857,0.938709677419355,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"91",0.4,0.5,0.285714285714286,0.419354838709677,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"97",0.1,0.77,0.857142857142857,0.854838709677419,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"100",0.9,1,0.714285714285714,0.712903225806452,0.6,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"101",0.38,0.52,0.285714285714286,0.496774193548387,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"103",0.42,0.46,0.285714285714286,0.483870967741935,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"107",0.91,1,0.571428571428571,0.829032258064516,0.5,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"113",0.43,0.52,0.285714285714286,0.516129032258065,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"118",0.11,0.84,0.857142857142857,0.809677419354839,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"119",0.37,0.57,0.285714285714286,0.429032258064516,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"120",0.4,0.46,0.285714285714286,0.425806451612903,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"122",0.4,0.46,0.285714285714286,0.435483870967742,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"123",0.75,1,0.571428571428571,0.696774193548387,0.6,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"124",0.11,0.84,0.857142857142857,0.967741935483871,0.5,1,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"127",0.38,0.49,0.285714285714286,0.425806451612903,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"134",0.44,0.51,0.285714285714286,0.445161290322581,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"135",0.36,0.5,0.285714285714286,0.425806451612903,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"137",0.1,0.84,0.857142857142857,0.912903225806452,0.4,1,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"138",0.42,0.48,0.285714285714286,0.416129032258065,0.3,0,"1",0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,"1"
"142",0.45,0.53,0.285714285714286,0.5,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"143",0.11,0.8,0.857142857142857,0.825806451612903,0.4,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"147",0.76,0.92,0.571428571428571,0.770967741935484,0.5,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,"1"
"152",0.45,0.56,0.285714285714286,0.496774193548387,0.3,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,"1"
"158",0.11,0.92,0.857142857142857,0.983870967741935,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"162",0.9,0.98,0.714285714285714,0.783870967741935,0.6,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,"1"
"166",0.11,0.84,1,0.954838709677419,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"169",0.32,0.5,0.285714285714286,0.435483870967742,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"170",0.45,0.57,0.285714285714286,0.509677419354839,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"171",0.81,0.99,0.571428571428571,0.835483870967742,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"174",0.1,0.88,0.857142857142857,0.916129032258065,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"178",0.38,0.5,0.285714285714286,0.451612903225806,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"181",0.4,0.47,0.285714285714286,0.470967741935484,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"186",0.4,0.46,0.285714285714286,0.409677419354839,0.3,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"193",0.74,0.91,0.571428571428571,0.748387096774194,0.5,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"195",0.89,0.95,0.571428571428571,0.887096774193548,0.5,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"196",0.09,0.8,0.857142857142857,0.980645161290323,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"197",0.27,0.54,1,0.896774193548387,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"200",0.77,0.94,0.714285714285714,0.729032258064516,0.6,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"204",0.1,0.93,0.857142857142857,0.825806451612903,0.4,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"207",0.77,0.99,0.714285714285714,0.735483870967742,0.5,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"214",0.45,0.46,0.285714285714286,0.493548387096774,0.3,0,"1",0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,"1"
"215",0.4,0.53,0.285714285714286,0.487096774193548,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"219",0.43,0.53,0.285714285714286,0.42258064516129,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"220",0.89,0.87,0.714285714285714,0.725806451612903,0.5,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,"1"
"222",0.37,0.5,0.285714285714286,0.435483870967742,0.3,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,"1"
"228",0.44,0.54,0.285714285714286,0.480645161290323,0.3,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,"1"
"230",0.78,0.98,0.714285714285714,0.770967741935484,0.6,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,"1"
"232",0.92,0.99,0.714285714285714,0.82258064516129,0.6,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"233",0.11,0.83,0.857142857142857,0.787096774193548,0.4,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,"1"
"242",0.37,0.46,0.285714285714286,0.503225806451613,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"246",0.45,0.46,0.285714285714286,0.5,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"250",0.11,0.84,0.857142857142857,0.961290322580645,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"259",0.88,0.88,0.714285714285714,0.748387096774194,0.5,1,"1",0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"262",0.82,0.97,0.714285714285714,0.848387096774194,0.5,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"263",0.44,0.56,0.285714285714286,0.42258064516129,0.3,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"268",0.45,0.53,0.285714285714286,0.416129032258065,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,1,"1"
"275",0.11,0.9,0.857142857142857,0.819354838709677,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"282",0.27,0.56,0.428571428571429,0.970967741935484,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"285",0.38,0.47,0.285714285714286,0.464516129032258,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"293",0.41,0.49,0.285714285714286,0.470967741935484,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"294",0.11,0.91,0.857142857142857,0.993548387096774,0.4,1,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"296",0.38,0.51,0.285714285714286,0.470967741935484,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.666666666666667,"1"
"299",0.45,0.48,0.285714285714286,0.438709677419355,0.3,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,"1"
"303",0.1,0.77,1,0.806451612903226,0.5,0,"1",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,"1"
"304",0.37,0.55,0.285714285714286,0.409677419354839,0.3,0,"1",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,"1"
"305",0.89,0.87,0.714285714285714,0.82258064516129,0.5,0,"1",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,"1"
"308",0.11,0.81,0.714285714285714,0.925806451612903,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"310",0.1,0.94,0.857142857142857,0.919354838709677,0.4,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,"1"
"311",0.1,0.93,1,0.983870967741935,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"312",0.11,0.95,1,0.967741935483871,0.4,0,"1",0,0,0,0,1,0,0,0,0,0,0,0.666666666666667,"1"
"315",0.1,0.81,0.857142857142857,0.864516129032258,0.4,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,"1"
"318",0.37,0.46,0.285714285714286,0.493548387096774,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"325",0.37,0.45,0.285714285714286,0.42258064516129,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"328",0.88,0.99,0.714285714285714,0.845161290322581,0.6,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"341",0.09,0.89,1,0.993548387096774,0.5,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"344",0.41,0.56,0.285714285714286,0.461290322580645,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"345",0.37,0.52,0.285714285714286,0.5,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"346",0.1,0.86,0.857142857142857,0.896774193548387,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,1,"1"
"349",0.11,0.84,1,0.851612903225806,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"354",0.43,0.57,0.285714285714286,0.435483870967742,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"359",0.31,0.62,0.857142857142857,0.435483870967742,0.5,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"0"
"360",0.09,0.91,0.857142857142857,0.887096774193548,0.4,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"364",0.72,0.96,0.714285714285714,0.861290322580645,0.5,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"372",0.36,0.51,0.285714285714286,0.435483870967742,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"375",0.86,0.84,0.714285714285714,0.819354838709677,0.5,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,"1"
"378",0.44,0.56,0.285714285714286,0.509677419354839,0.3,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"380",0.77,0.93,0.571428571428571,0.745161290322581,0.5,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"382",0.38,0.46,0.285714285714286,0.467741935483871,0.3,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"384",0.38,0.51,0.285714285714286,0.512903225806452,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"390",0.42,0.57,0.285714285714286,0.496774193548387,0.3,1,"1",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,"1"
"399",0.87,0.83,0.571428571428571,0.854838709677419,0.6,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"400",0.1,0.87,0.857142857142857,0.806451612903226,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"402",0.76,0.92,0.571428571428571,0.793548387096774,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"408",0.09,0.94,0.857142857142857,0.829032258064516,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"411",0.28,0.45,0.857142857142857,0.703225806451613,0.4,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,"1"
"414",0.45,0.54,0.285714285714286,0.458064516129032,0.3,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"415",0.91,0.97,0.714285714285714,0.751612903225806,0.5,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"416",0.42,0.48,0.285714285714286,0.5,0.3,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"418",0.11,0.9,0.857142857142857,0.851612903225806,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"421",0.09,0.96,0.857142857142857,0.864516129032258,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"425",0.45,0.46,0.285714285714286,0.419354838709677,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"431",0.89,0.65,0.714285714285714,0.629032258064516,0.6,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"0"
"432",0.41,0.57,0.285714285714286,0.516129032258065,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"433",0.44,0.51,0.285714285714286,0.483870967741935,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"438",0.43,0.53,0.285714285714286,0.516129032258065,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"441",0.41,0.48,0.285714285714286,0.448387096774194,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"442",0.36,0.78,0.285714285714286,0.487096774193548,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"444",0.81,0.98,0.714285714285714,0.790322580645161,0.5,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"445",0.39,0.54,0.285714285714286,0.409677419354839,0.3,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"450",0.81,0.92,0.714285714285714,0.770967741935484,0.5,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,"1"
"452",0.85,0.98,0.714285714285714,0.8,0.5,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,"1"
"455",0.09,0.97,1,0.819354838709677,0.4,1,"1",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,"1"
"458",0.77,1,0.571428571428571,0.82258064516129,0.5,0,"1",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,"1"
"462",0.43,0.5,0.285714285714286,0.441935483870968,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,"1"
"466",0.37,0.54,0.285714285714286,0.490322580645161,0.3,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,"1"
"467",0.37,0.48,0.285714285714286,0.432258064516129,0.3,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,"1"
"469",0.9,0.92,0.714285714285714,0.790322580645161,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"470",0.41,0.52,0.285714285714286,0.512903225806452,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"474",0.42,0.56,0.285714285714286,0.480645161290323,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"475",0.87,1,0.714285714285714,0.780645161290323,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"479",0.76,0.83,0.714285714285714,0.732258064516129,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"480",0.11,0.96,1,0.893548387096774,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"483",0.77,0.87,0.571428571428571,0.780645161290323,0.6,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"490",0.76,0.88,0.571428571428571,0.664516129032258,0.4,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"492",0.39,0.51,0.285714285714286,0.487096774193548,0.3,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"498",0.59,0.49,1,0.848387096774194,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"499",0.44,0.48,0.285714285714286,0.461290322580645,0.3,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"501",0.91,0.84,0.714285714285714,0.854838709677419,0.5,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"503",0.11,0.87,1,0.909677419354839,0.5,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"505",0.78,0.83,0.571428571428571,0.7,0.6,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,"1"
"509",0.38,0.55,0.285714285714286,0.509677419354839,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"514",0.11,0.89,0.857142857142857,0.945161290322581,0.4,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"518",0.09,0.86,1,0.996774193548387,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"522",0.74,0.99,0.571428571428571,0.751612903225806,0.5,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"530",0.39,0.57,0.285714285714286,0.467741935483871,0.3,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"532",0.37,0.54,0.285714285714286,0.42258064516129,0.3,1,"1",0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,"1"
"535",0.75,0.85,0.714285714285714,0.774193548387097,0.6,1,"1",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,"1"
"536",0.37,0.56,0.285714285714286,0.503225806451613,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"539",0.87,1,0.714285714285714,0.841935483870968,0.5,1,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"540",0.11,0.94,1,0.787096774193548,0.4,0,"1",0,0,0,0,1,0,0,0,0,0,0,0.666666666666667,"1"
"545",0.43,0.49,0.285714285714286,0.435483870967742,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"546",0.78,1,0.714285714285714,0.761290322580645,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"547",0.37,0.47,0.285714285714286,0.480645161290323,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"549",0.85,0.82,0.571428571428571,0.870967741935484,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"552",0.75,0.99,0.714285714285714,0.819354838709677,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"555",0.43,0.53,0.285714285714286,0.483870967741935,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"560",0.11,0.8,1,0.954838709677419,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"562",0.37,0.53,0.285714285714286,0.42258064516129,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"566",0.79,0.58,0.428571428571429,0.948387096774194,0.4,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,"1"
"567",0.11,0.79,1,1,0.4,0,"1",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,"1"
"573",0.75,0.97,0.714285714285714,0.783870967741935,0.6,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"586",0.4,0.51,0.285714285714286,0.448387096774194,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"587",0.46,0.57,0.285714285714286,0.490322580645161,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"589",0.87,0.9,0.714285714285714,0.832258064516129,0.5,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,"1"
"593",0.1,0.8,0.857142857142857,0.851612903225806,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,"1"
"597",0.86,0.84,0.714285714285714,0.716129032258065,0.5,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"602",0.84,0.94,0.714285714285714,0.716129032258065,0.6,0,"1",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,"1"
"605",0.11,0.79,0.857142857142857,0.941935483870968,0.4,0,"1",0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,"1"
"607",0.38,0.56,0.285714285714286,0.519354838709677,0.3,0,"1",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,"1"
"609",0.45,0.49,0.285714285714286,0.432258064516129,0.3,0,"1",0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,"1"
"612",0.39,0.53,0.285714285714286,0.409677419354839,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"615",0.09,0.9,1,0.954838709677419,0.4,0,"1",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,"1"
"616",0.1,0.88,1,0.861290322580645,0.4,0,"1",0,0,0,0,1,0,0,0,0,0,0,0.666666666666667,"1"
"617",0.39,0.49,0.285714285714286,0.464516129032258,0.3,0,"1",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,"1"
"620",0.43,0.51,0.285714285714286,0.454838709677419,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"625",0.38,0.5,0.285714285714286,0.451612903225806,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"626",0.78,0.98,0.714285714285714,0.848387096774194,0.6,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"630",0.46,0.54,0.285714285714286,0.464516129032258,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"636",0.39,0.57,0.285714285714286,0.409677419354839,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"637",0.44,0.53,0.285714285714286,0.451612903225806,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"658",0.43,0.55,0.285714285714286,0.419354838709677,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,1,"1"
"662",0.39,0.46,0.285714285714286,0.438709677419355,0.3,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,"1"
